"Net generation for all sectors"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=fffh&geo=10fvvvvvvvvvo&sec=g&linechart=&columnchart=ELEC.GEN.COW-CT-99.A&map=ELEC.GEN.COW-CT-99.A&freq=A&start=2001&end=2020&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0"
"Tue Mar 23 2021 19:22:06 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Net generation for all sectors","thousand megawatthours",,,,,,,,,,,,,,,,,,,,,
"United States",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"New England",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"Connecticut",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"Connecticut : all fuels (utility-scale)",,"ELEC.GEN.ALL-CT-99.A",,,,,,,,,,,,,,,,,,,,
"Connecticut : coal","thousand megawatthours","ELEC.GEN.COW-CT-99.A",3736,3227,4200,4255,3996,4282,3739,4387,2453,2604,526,653,681,825,600,177,198,330,53,-19
"Connecticut : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-CT-99.A",5173,2338,2063,1740,3156,1279,1311,514,299,409,166,112,306,513,437,92,178,339,12,13
"Connecticut : petroleum coke","thousand megawatthours","ELEC.GEN.PC-CT-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Connecticut : natural gas","thousand megawatthours","ELEC.GEN.NG-CT-99.A",4088,8868,5062,8108,8864,10484,9930,8070,9809,11716,15188,16537,15780,14684,17362,17952,15961,20006,21343,23453
"Connecticut : nuclear","thousand megawatthours","ELEC.GEN.NUC-CT-99.A",15428,14918,16078,16539,15562,16589,16386,15433,16657,16750,15928,17078,17080,15841,17411,16575,16500,16881,16733,15715
